lon,lat,regression_value,classification_label,combined_output_h_x
121.53,24.58,25.253000000000007,1,25.253000000000007
121.14,24.73,25.981999999999967,1,25.981999999999967
121.62,24.01,26.21900000000001,1,26.21900000000001
121.5,24.31,17.122999999999987,1,17.122999999999987
120.72,22.69,21.03300000000003,1,21.03300000000003
121.02,23.65,13.013600000000011,1,13.013600000000011
120.54,23.71,25.71399999999999,1,25.71399999999999
120.96,23.77,13.699999999999994,1,13.699999999999994
120.87,23.62,17.06000000000001,1,17.06000000000001
120.39,22.72,25.031000000000027,1,25.031000000000027
121.05,24.22,16.955000000000002,1,16.955000000000002
120.57,23.83,25.74,1,25.74
121.2,23.53,6.933,1,6.933
121.35,23.08,22.05599999999998,1,22.05599999999998
120.51,22.93,24.459000000000017,1,24.459000000000017
120.39,23.08,24.54099999999999,1,24.54099999999999
120.78,23.2,15.676999999999989,1,15.676999999999989
121.26,23.44,18.508000000000003,1,18.508000000000003
121.83,24.97,24.93799999999999,1,24.93799999999999
121.62,24.13,25.697000000000017,1,25.697000000000017
120.6,22.54,25.984999999999992,1,25.984999999999992
120.18,23.65,25.503,1,25.503
120.87,22.69,15.443999999999987,1,15.443999999999987
120.87,24.34,25.431000000000008,1,25.431000000000008
121.41,23.29,23.209,1,23.209
121.14,24.34,9.984000000000007,1,9.984000000000007
121.14,23.02,20.20100000000001,1,20.20100000000001
121.02,22.72,25.909000000000006,1,25.909000000000006
120.78,23.65,13.116000000000003,1,13.116000000000003
121.59,25.21,23.111999999999977,1,23.111999999999977
121.05,24.94,27.528,1,27.528
121.5,24.19,22.083999999999996,1,22.083999999999996
121.38,24.82,24.239999999999988,1,24.239999999999988
120.51,23.17,22.915999999999972,1,22.915999999999972
120.99,23.41,7.858999999999994,1,7.858999999999994
120.9,24.37,23.86999999999999,1,23.86999999999999
120.78,22.51,18.374000000000002,1,18.374000000000002
120.45,22.54,25.664999999999996,1,25.664999999999996
121.05,22.96,19.51699999999999,1,19.51699999999999
121.32,24.07,11.765999999999995,1,11.765999999999995
121.08,24.73,26.24299999999999,1,26.24299999999999
121.29,24.28,19.681000000000026,1,19.681000000000026
120.33,23.14,24.901000000000046,1,24.901000000000046
120.87,23.35,13.109000000000002,1,13.109000000000002
120.96,24.37,21.559999999999974,1,21.559999999999974
120.75,22.09,27.674999999999972,1,27.674999999999972
120.48,23.86,25.783999999999992,1,25.783999999999992
121.02,24.07,21.436000000000007,1,21.436000000000007
120.75,23.02,16.293000000000013,1,16.293000000000013
120.75,22.12,27.321999999999967,1,27.321999999999967
120.66,22.3,26.883000000000017,0,-999.0
120.3,22.72,25.406000000000017,1,25.406000000000017
121.47,25.15,27.72400000000001,1,27.72400000000001
120.81,23.68,16.22800000000001,1,16.22800000000001
120.72,23.29,15.048000000000009,1,15.048000000000009
120.78,22.21,26.932000000000002,1,26.932000000000002
120.51,23.53,25.08399999999999,1,25.08399999999999
120.78,22.81,11.979000000000001,1,11.979000000000001
121.02,24.22,19.89000000000001,1,19.89000000000001
120.42,23.89,25.857000000000035,1,25.857000000000035
120.45,23.77,25.5793333333333,1,25.5793333333333
120.99,23.29,6.236000000000005,1,6.236000000000005
120.42,22.93,24.570999999999998,1,24.570999999999998
120.6,22.48,26.452000000000012,1,26.452000000000012
120.87,24.58,26.58800000000003,1,26.58800000000003
121.77,24.76,28.156999999999996,1,28.156999999999996
120.96,22.54,25.154000000000007,1,25.154000000000007
120.72,24.55,25.938000000000006,1,25.938000000000006
120.15,23.11,25.287000000000006,1,25.287000000000006
120.93,24.43,22.745999999999995,1,22.745999999999995
121.08,23.35,8.63800000000001,1,8.63800000000001
120.12,23.08,25.292000000000012,1,25.292000000000012
120.3,22.81,25.210999999999984,1,25.210999999999984
120.48,23.8,25.608999999999952,1,25.608999999999952
120.99,23.17,9.915999999999997,1,9.915999999999997
120.66,23.95,25.571000000000012,1,25.571000000000012
120.99,24.91,27.188000000000002,1,27.188000000000002
121.77,24.43,26.911999999999992,1,26.911999999999992
121.56,25.27,23.75199999999997,1,23.75199999999997
121.38,23.41,21.761000000000003,1,21.761000000000003
121.26,24.73,22.83400000000001,1,22.83400000000001
120.96,24.7,22.522999999999975,1,22.522999999999975
121.44,23.53,24.095999999999986,1,24.095999999999986
121.29,24.79,23.840000000000035,1,23.840000000000035
121.8,24.64,28.201000000000008,1,28.201000000000008
121.32,24.49,14.924,1,14.924
120.15,23.29,25.426000000000023,1,25.426000000000023
120.81,23.56,11.855000000000011,1,11.855000000000011
120.33,22.66,25.5,1,25.5
120.45,22.48,25.79100000000001,1,25.79100000000001
121.65,24.97,25.74699999999999,1,25.74699999999999
120.6,23.59,22.955,1,22.955
120.63,23.02,20.126000000000005,1,20.126000000000005
121.35,23.65,19.716000000000022,1,19.716000000000022
121.05,24.19,13.122000000000014,1,13.122000000000014
120.87,24.37,24.71899999999998,1,24.71899999999998
120.96,22.66,23.394999999999985,1,23.394999999999985
120.27,23.41,25.343999999999998,1,25.343999999999998
120.84,24.37,24.27899999999998,1,24.27899999999998
120.66,22.96,21.522999999999993,1,21.522999999999993
120.6,22.6,26.038999999999998,1,26.038999999999998
121.71,24.49,21.42900000000001,1,21.42900000000001
121.47,23.5,24.436000000000014,1,24.436000000000014
121.32,23.68,12.17,1,12.17
121.14,22.78,25.874999999999964,1,25.874999999999964
120.51,22.57,25.715999999999998,1,25.715999999999998
121.53,24.82,22.67899999999999,1,22.67899999999999
121.53,24.55,21.205000000000005,1,21.205000000000005
120.75,22.96,18.96700000000001,1,18.96700000000001
